============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
  486. EJM713                  27s   (1 sessions)
  487. N100ML                  27s   (2 sessions)
  488. EJA469                  27s   (1 sessions)
  489. N840MQ                  27s   (3 sessions)
  490. EJA315                  27s   (1 sessions)
  491. N1091A                  27s   (2 sessions)
  492. N104WF                  27s   (1 sessions)
  493. N277WG                  27s   (1 sessions)
  494. N50TW                   27s   (1 sessions)
  495. N715MN                  27s   (1 sessions)
  496. EJA577                  27s   (1 sessions)
  497. N307EE                  27s   (1 sessions)
  498. N28FY                   26s   (1 sessions)
  499. TWY944                  26s   (1 sessions)
  500. EJA444                  26s   (1 sessions)
  501. N397MY                  26s   (2 sessions)
  502. N794XJ                  26s   (1 sessions)
  503. N3343Q                  26s   (1 sessions)
  504. KSLAWO1                 26s   (1 sessions)
  505. N63NX                   26s   (4 sessions)
  506. LXJ540                  26s   (1 sessions)
  507. LXJ360                  26s   (1 sessions)
  508. EJA886                  26s   (1 sessions)
  509. DCM815                  26s   (1 sessions)
  510. EJA872                  26s   (1 sessions)
  511. EJA889                  26s   (1 sessions)
  512. N858ZG                  26s   (1 sessions)
  513. LXJ410                  26s   (1 sessions)
  514. N737JR                  25s   (2 sessions)
  515. EJM19                   25s   (1 sessions)
  516. SLH4                    25s   (1 sessions)
  517. N895CC                  25s   (1 sessions)
  518. GLT393                  25s   (1 sessions)
  519. RTY131                  25s   (1 sessions)
  520. VJA338                  25s   (1 sessions)
  521. N112TG                  25s   (1 sessions)
  522. CXK495                  25s   (1 sessions)
  523. EJA706                  25s   (1 sessions)
  524. N218KF                  25s   (1 sessions)
  525. N430MW                  25s   (1 sessions)
  526. CHR7                    25s   (1 sessions)
  527. N969GC                  25s   (1 sessions)
  528. EJA824                  25s   (1 sessions)
  529. PRE388                  25s   (1 sessions)
  530. EJA422                  25s   (1 sessions)
  531. EJA884                  25s   (1 sessions)
  532. JTZ287                  25s   (1 sessions)
  533. LXJ575                  25s   (1 sessions)
  534. N420BD                  25s   (1 sessions)
  535. LXJ397                  24s   (1 sessions)
  536. N24293                  24s   (1 sessions)
  537. N53DF                   24s   (1 sessions)
  538. N84UP                   24s   (1 sessions)
  539. JTL3                    24s   (1 sessions)
  540. N525PG                  24s   (1 sessions)
  541. N53UB                   24s   (1 sessions)
  542. N9523Q                  24s   (2 sessions)
  543. N902F                   24s   (1 sessions)
  544. LXJ484                  24s   (1 sessions)
  545. N828SK                  24s   (1 sessions)
  546. N707GP                  24s   (1 sessions)
  547. N127SF                  24s   (2 sessions)
  548. PFT151                  24s   (1 sessions)
  549. EJA327                  24s   (1 sessions)
  550. N6749G                  24s   (2 sessions)
  551. N59PJ                   24s   (1 sessions)
  552. N744EF                  23s   (1 sessions)
  553. N268VT                  23s   (1 sessions)
  554. N125Z                   23s   (2 sessions)
  555. N918LT                  23s   (1 sessions)
  556. LXJ262                  23s   (1 sessions)
  557. TCN399                  23s   (1 sessions)
  558. LXJ392                  23s   (1 sessions)
  559. KAI525                  23s   (1 sessions)
  560. N249TH                  23s   (1 sessions)
  561. PJC36                   23s   (1 sessions)
  562. RAX555                  23s   (1 sessions)
  563. N3387R                  23s   (1 sessions)
  564. N2046Z                  22s   (3 sessions)
  565. N109MJ                  22s   (1 sessions)
  566. N8795W                  22s   (1 sessions)
  567. EJA257                  22s   (1 sessions)
  568. EJA464                  22s   (1 sessions)
  569. N313BK                  22s   (1 sessions)
  570. N335FG                  22s   (1 sessions)
  571. N6642J                  22s   (1 sessions)
  572. N661M                   22s   (1 sessions)
  573. N700WW                  22s   (2 sessions)
  574. N881AF                  22s   (1 sessions)
  575. EJA830                  22s   (1 sessions)
  576. N9580J                  22s   (1 sessions)
  577. N888                    22s   (1 sessions)
  578. N6007C                  22s   (1 sessions)
  579. N263BA                  22s   (1 sessions)
  580. CYO461                  22s   (1 sessions)
  581. N800MD                  22s   (1 sessions)
  582. N727MS                  22s   (1 sessions)
  583. N365LG                  22s   (1 sessions)
  584. N978PW                  21s   (1 sessions)
  585. N505RR                  21s   (1 sessions)
  586. N850AX                  21s   (1 sessions)
  587. N278GA                  21s   (1 sessions)
  588. EJA784                  21s   (1 sessions)
  589. NGF7579                 21s   (1 sessions)
  590. N4HD                    21s   (1 sessions)
  591. N303DC                  20s   (1 sessions)
  592. N244U                   20s   (1 sessions)
  593. TCN784                  20s   (1 sessions)
  594. N660PS                  20s   (1 sessions)
  595. N7963W                  20s   (2 sessions)
  596. N462SW                  20s   (1 sessions)
  597. N848                    20s   (1 sessions)
  598. N633PC                  20s   (1 sessions)
  599. N881RE                  20s   (1 sessions)
  600. N736JH                  20s   (1 sessions)
  601. N1668M                  19s   (2 sessions)
  602. N742BS                  19s   (1 sessions)
  603. EJA975                  19s   (1 sessions)
  604. N6FZ                    19s   (1 sessions)
  605. LIFELN1                 19s   (1 sessions)
  606. EJA574                  18s   (1 sessions)
  607. N530JF                  18s   (1 sessions)
  608. N305BZ                  18s   (2 sessions)
  609. N261HB                  18s   (1 sessions)
  610. EJA265                  18s   (1 sessions)
  611. N525PZ                  18s   (1 sessions)
  612. N107SB                  18s   (1 sessions)
  613. JCY900                  17s   (1 sessions)
  614. N346PA                  17s   (1 sessions)
  615. N395GF                  17s   (1 sessions)
  616. N28BJ                   17s   (1 sessions)
  617. N713MA                  17s   (1 sessions)
  618. N1090J                  17s   (1 sessions)
  619. N651DR                  17s   (1 sessions)
  620. N756XP                  17s   (2 sessions)
  621. N996EP                  17s   (1 sessions)
  622. N570DS                  17s   (1 sessions)
  623. N775AL                  17s   (1 sessions)
  624. N681DB                  17s   (1 sessions)
  625. N788RB                  17s   (3 sessions)
  626. N853HL                  16s   (1 sessions)
  627. CWG742                  16s   (1 sessions)
